 Year    South 30S-30N   North 
 1765.5       0        0      0
 1766.5       0        0      0
 1767.5       0        0      0
 1768.5       0        0      0
 1769.5       0        0      0
 1770.5       0        0      0
 1771.5       0        0      0
 1772.5       0        0      0
 1773.5       0        0      0
 1774.5       0        0      0
 1775.5       0        0      0
 1776.5       0        0      0
 1777.5       0        0      0
 1778.5       0        0      0
 1779.5       0        0      0
 1780.5       0        0      0
 1781.5       0        0      0
 1782.5       0        0      0
 1783.5       0        0      0
 1784.5       0        0      0
 1785.5       0        0      0
 1786.5       0        0      0
 1787.5       0        0      0
 1788.5       0        0      0
 1789.5       0        0      0
 1790.5       0        0      0
 1791.5       0        0      0
 1792.5       0        0      0
 1793.5       0        0      0
 1794.5       0        0      0
 1795.5       0        0      0
 1796.5       0        0      0
 1797.5       0        0      0
 1798.5       0        0      0
 1799.5       0        0      0
 1800.5       0        0      0
 1801.5       0        0      0
 1802.5       0        0      0
 1803.5       0        0      0
 1804.5       0        0      0
 1805.5       0        0      0
 1806.5       0        0      0
 1807.5       0        0      0
 1808.5       0        0      0
 1809.5       0        0      0
 1810.5       0        0      0
 1811.5       0        0      0
 1812.5       0        0      0
 1813.5       0        0      0
 1814.5       0        0      0
 1815.5       0        0      0
 1816.5       0        0      0
 1817.5       0        0      0
 1818.5       0        0      0
 1819.5       0        0      0
 1820.5       0        0      0
 1821.5       0        0      0
 1822.5       0        0      0
 1823.5       0        0      0
 1824.5       0        0      0
 1825.5       0        0      0
 1826.5       0        0      0
 1827.5       0        0      0
 1828.5       0        0      0
 1829.5       0        0      0
 1830.5       0        0      0
 1831.5       0        0      0
 1832.5       0        0      0
 1833.5       0        0      0
 1834.5       0        0      0
 1835.5       0        0      0
 1836.5       0        0      0
 1837.5       0        0      0
 1838.5       0        0      0
 1839.5       0        0      0
 1840.5    -0.9     -0.9   -0.9
 1841.5      -1       -1     -1
 1842.5    -1.2     -1.2   -1.2
 1843.5    -1.3     -1.3   -1.3
 1844.5    -1.5     -1.5   -1.5
 1845.5    -1.6     -1.6   -1.6
 1846.5    -1.7     -1.7   -1.7
 1847.5    -1.9     -1.9   -1.9
 1848.5      -2       -2     -2
 1849.5    -2.2     -2.2   -2.2
 1850.5    -2.3     -2.3   -2.3
 1851.5    -2.5     -2.5   -2.5
 1852.5    -2.6     -2.6   -2.6
 1853.5    -2.8     -2.8   -2.8
 1854.5      -3       -3     -3
 1855.5    -3.1     -3.1   -3.1
 1856.5    -3.3     -3.3   -3.3
 1857.5    -3.6     -3.6   -3.6
 1858.5    -3.8     -3.8   -3.8
 1859.5      -4       -4     -4
 1860.5    -4.2     -4.2   -4.2
 1861.5    -4.5     -4.5   -4.5
 1862.5    -4.7     -4.7   -4.7
 1863.5    -4.9     -4.9   -4.9
 1864.5    -5.2     -5.2   -5.2
 1865.5    -5.4     -5.4   -5.4
 1866.5    -5.4     -5.4   -5.4
 1867.5    -5.4     -5.4   -5.4
 1868.5    -5.4     -5.4   -5.4
 1869.5    -5.4     -5.4   -5.4
 1870.5    -5.4     -5.4   -5.4
 1871.5    -5.3     -5.3   -5.3
 1872.5    -5.3     -5.3   -5.3
 1873.5    -5.3     -5.3   -5.3
 1874.5    -5.3     -5.3   -5.3
 1875.5    -5.3     -5.3   -5.3
 1876.5    -5.3     -5.3   -5.3
 1877.5    -5.3     -5.3   -5.3
 1878.5    -5.2     -5.2   -5.2
 1879.5    -5.2     -5.2   -5.2
 1880.5    -5.2     -5.2   -5.2
 1881.5    -5.2     -5.2   -5.2
 1882.5    -5.2     -5.2   -5.2
 1883.5    -5.1     -5.1   -5.1
 1884.5    -5.1     -5.1   -5.1
 1885.5    -5.1     -5.1   -5.1
 1886.5    -4.9     -4.9   -4.9
 1887.5    -4.8     -4.8   -4.8
 1888.5    -4.6     -4.6   -4.6
 1889.5    -4.5     -4.5   -4.5
 1890.5      -7     -4.5     -2
 1891.5      -7     -4.5     -2
 1892.5      -7     -4.5     -2
 1893.5      -7     -4.5     -2
 1894.5      -7     -4.5     -2
 1895.5      -7     -4.5     -2
 1896.5    -7.3     -4.8   -2.3
 1897.5    -7.7     -5.2   -2.7
 1898.5      -8     -5.5     -3
 1899.5    -8.3     -5.8   -3.3
 1900.5    -8.7     -6.2   -3.7
 1901.5      -9     -6.5     -4
 1902.5    -9.3     -6.8   -4.3
 1903.5    -9.7     -7.2   -4.7
 1904.5     -10     -7.5     -5
 1905.5   -10.3     -7.8   -5.3
 1906.5   -10.7     -8.2   -5.7
 1907.5     -11     -8.5     -6
 1908.5   -11.3     -8.8   -6.3
 1909.5   -11.7     -9.2   -6.7
 1910.5     -12     -9.5     -7
 1911.5   -12.3     -9.8   -7.3
 1912.5   -12.7    -10.2   -7.7
 1913.5     -13    -10.5     -8
 1914.5   -13.3    -10.8   -8.3
 1915.5   -13.7    -11.2   -8.7
 1916.5     -14    -11.5     -9
 1917.5   -14.3    -11.8   -9.3
 1918.5   -14.7    -12.2   -9.7
 1919.5     -15    -12.5    -10
 1920.5   -15.3    -12.8  -10.3
 1921.5   -15.7    -13.2  -10.7
 1922.5     -16    -13.5    -11
 1923.5   -16.3    -13.8  -11.3
 1924.5   -16.7    -14.2  -11.7
 1925.5     -17    -14.5    -12
 1926.5   -17.3    -14.8  -12.3
 1927.5   -17.7    -15.2  -12.7
 1928.5     -18    -15.5    -13
 1929.5   -18.3    -15.8  -13.3
 1930.5   -18.7    -16.2  -13.7
 1931.5     -19    -16.5    -14
 1932.5   -19.3    -16.8  -14.3
 1933.5   -19.7    -17.2  -14.7
 1934.5     -20    -17.5    -15
 1935.5   -20.3    -17.8  -15.3
 1936.5   -20.7    -18.2  -15.7
 1937.5     -21    -18.5    -16
 1938.5   -21.3    -18.8  -16.3
 1939.5   -21.7    -19.2  -16.7
 1940.5   -22.2    -21.5  -20.2
 1941.5   -21.4    -20.8  -19.4
 1942.5   -21.6      -21  -19.6
 1943.5   -24.5    -23.9  -22.5
 1944.5   -23.7      -23  -21.7
 1945.5   -24.1    -23.4  -22.1
 1946.5   -23.6    -22.8  -21.6
 1947.5   -23.1    -22.2  -21.1
 1948.5   -24.3    -23.4  -22.3
 1949.5   -26.6    -25.9  -24.6
 1950.5   -26.8    -26.1  -24.8
 1951.5   -26.8      -26  -24.8
 1952.5   -26.9    -25.7  -24.9
 1953.5   -25.9    -23.5  -23.9
 1954.5   -23.8    -14.4  -21.1
 1955.5     -11     -6.4   -8.2
 1956.5    14.7     23.4   26.5
 1957.5    35.8     51.9     73
 1958.5    81.8    105.7  140.2
 1959.5   141.1    176.8    228
 1960.5   185.6    200.3  212.3
 1961.5   198.7    205.8  221.6
 1962.5   215.9    256.2  358.5
 1963.5   330.6    474.3  718.3
 1964.5   520.6    672.3  835.7
 1965.5   637.3    697.5  756.3
 1966.5   619.7    658.5  691.9
 1967.5   585.6    605.4  623.6
 1968.5   549.7    559.6  564.5
 1969.5   528.5    537.1  545.4
 1970.5     506    519.1  529.1
 1971.5     489    495.4  499.4
 1972.5   461.6    466.6  465.6
 1973.5   430.9    426.1  418.6
 1974.5   394.9    400.7  400.8
 1975.5   378.2    378.7  369.8
 1976.5   349.8    354.4  352.5
 1977.5   326.7      330  333.9
 1978.5   310.2    320.6  325.8
 1979.5     291    296.1  295.8
 1980.5   274.8      272  264.5
 1981.5   257.5    254.8  256.7
 1982.5   241.1    241.1  238.3
 1983.5   221.5      225  224.2
 1984.5   206.7    209.7  209.3
 1985.5   197.1      204  201.1
 1986.5   187.4    193.9  191.1
 1987.5   175.5    186.5  183.6
 1988.5   171.6    177.6  174.7
 1989.5   157.3    166.6  163.7
 1990.5   148.3    155.1  152.2
 1991.5   141.2    145.3  142.4
 1992.5   132.2    137.6  136.3
 1993.5   127.2    131.8  128.7
 1994.5   120.4    125.5  122.1
 1995.5   114.9      120  115.8
 1996.5   110.3    109.6  109.8
 1997.5   105.2    109.7    104
 1998.5   100.2    103.2  100.3
 1999.5    92.7     98.6   95.7
 2000.5    86.5     92.6   89.7
 2001.5    80.7     87.6   84.8
 2002.5    72.9     80.4   77.5
 2003.5    79.5     77.4   73.5
 2004.5    77.7       75   70.6
 2005.5    75.7       73     67
 2006.5      75       72     66
 2007.5      74       71     65
 2008.5      73       70     64
